Alloy Formula,"Composition
 type",Form,Composition in mole percent,"Thickness 
(micron)",fcc lattice parameter for Cu alloys,Bravais lattice in as-annealed form for PdCu based membranes,Latice parameter (nm),Bravais lattice in as-manufactured state,Temperature (°C),"Inverse temperature 
1E3/T (1E3 K-1)","Diffusion 
coefficient
(cm^2.s^-1)",Fabrication technique,"Pressure 
difference  P1^n- P2^n (Pa^n)","Pressure 
exponent 
(n)",Effective area (cm^2),Membrane support,Type of support,Gases,Solubility constant Ks (Pa^-0.5),Hydrogen permeability (mol.m^-1.s^-1.Pa^-n),"Hydrogen Permeation Flux
(mol.m^-2.s^-1)","Permeation 
Activation Energy (KJ/mol)",Hydrogen Permeance (mol.m^-2.s^-1.Pa^-0.5),Feed Flow rate (mL.min^-1),Hydrogen transfer rate s.c.f.h.(mil).(sq.ft.)^-1,Conversion factor,Number,General comments,Reference,DOI/URL,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,300,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.20E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,325,1.67,1.72E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.32E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,350,1.61,1.86E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.45E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,375,1.54,2.13E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.58E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,400,1.49,2.40E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.75E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,425,1.43,2.67E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.94E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,450,1.38,2.88E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.15E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,475,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.41E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.8Cu36.4Ti1.8,mole fraction,foil,Pd61.80Cu36.40Ti1.80,91.4,,,0.3806,fcc,500,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.63E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,300,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.30E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,325,1.67,1.79E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.30E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,350,1.6,2.03E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.30E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,375,1.54,2.42E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.43E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,400,1.48,3.00E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.57E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,425,1.43,3.60E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.72E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,450,1.38,4.11E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.87E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,475,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.09E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu37.2Nb1.7,mole fraction,foil,Pd61.10Cu37.20Nb1.70,113,,,0.3804,fcc,500,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.34E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,315,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.03E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,325,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.03E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,350,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.03E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,375,1.54,3.20E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.03E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,400,400,3.88E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.24E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,425,1.43,4.72E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.55E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,450,1.38,5.90E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.89E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,475,1.34,6.91E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.25E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd61.1Cu36.3Ni2.6,mole fraction,foil,Pd61.10Cu36.30Ni2.60,83,,,0.3795,fcc,500,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.67E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,315,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.22E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,325,1.67,2.13E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.22E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,350,1.6,2.52E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.22E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,375,1.54,2.73E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.22E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,400,1.49,3.30E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.22E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,425,1.43,4.00E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.46E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,450,1.38,4.66E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.68E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd69.0Cu29.9V1.1,mole fraction,foil,Pd69.00Cu29.90V1.10,98,,,0.3813,fcc,475,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.92E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
